"id","id_first","id_second","weight"
"-1607672816472545345",-1607672816,472545345,1
"-1607672816831647776",-1607672816,831647776,1
"-1607672816935858194",-1607672816,935858194,1
"2052240402422624338",2052240402,422624338,1
"20522404021656851542",2052240402,1656851542,1
"2052240402-1374147519",2052240402,-1374147519,1
"422624338-654881761",422624338,-654881761,1
"422624338-611751909",422624338,-611751909,1
"422624338-1812598750",422624338,-1812598750,1
"4226243381965925397",422624338,1965925397,1
"-6548817611656851542",-654881761,1656851542,1
"-654881761-1374147519",-654881761,-1374147519,1
"1461459987422624338",1461459987,422624338,1
"14614599871965925397",1461459987,1965925397,1
"-1956439022422624338",-1956439022,422624338,1
"-19564390221965925397",-1956439022,1965925397,1
"-611751909-1374147519",-611751909,-1374147519,1
"1656851542422624338",1656851542,422624338,1
"16568515421461459987",1656851542,1461459987,1
"1656851542-1956439022",1656851542,-1956439022,1
"1656851542-1812598750",1656851542,-1812598750,1
"16568515421965925397",1656851542,1965925397,1
"-1812598750-1374147519",-1812598750,-1374147519,1
"19659253972052240402",1965925397,2052240402,1
"1965925397-654881761",1965925397,-654881761,1
"1965925397-611751909",1965925397,-611751909,1
"1965925397-1812598750",1965925397,-1812598750,1
"1965925397-1374147519",1965925397,-1374147519,1
"1965925397-611751918",1965925397,-611751918,1
"-1374147519422624338",-1374147519,422624338,1
"-13741475191461459987",-1374147519,1461459987,1
"-1374147519-1956439022",-1374147519,-1956439022,1
"-13741475191656851542",-1374147519,1656851542,1
"-611751918422624338",-611751918,422624338,1
"-6117519181656851542",-611751918,1656851542,1
"-611751918-1374147519",-611751918,-1374147519,1
"935858194-1607672816",935858194,-1607672816,1
"-482260966311806992",-482260966,311806992,1
"-482260966935858194",-482260966,935858194,1
"-1607672816-482261984",-1607672816,-482261984,1
"-1607672816-199529448",-1607672816,-199529448,1
"-1607672816-164953023",-1607672816,-164953023,1
"-1607672816-843443179",-1607672816,-843443179,1
"-16076728161709433876",-1607672816,1709433876,1
"-1607672816-482260966",-1607672816,-482260966,1
"20522404021965925397",2052240402,1965925397,1
"4226243382052240402",422624338,2052240402,1
"4226243381461459987",422624338,1461459987,1
"422624338-1956439022",422624338,-1956439022,1
"4226243381656851542",422624338,1656851542,1
"422624338-1374147519",422624338,-1374147519,1
"422624338-611751918",422624338,-611751918,1
"-654881761422624338",-654881761,422624338,1
"-6548817611965925397",-654881761,1965925397,1
"14614599871656851542",1461459987,1656851542,1
"1461459987-1374147519",1461459987,-1374147519,1
"-19564390221656851542",-1956439022,1656851542,1
"-1956439022-1374147519",-1956439022,-1374147519,1
"-611751909422624338",-611751909,422624338,1
"-6117519091965925397",-611751909,1965925397,1
"16568515422052240402",1656851542,2052240402,1
"1656851542-654881761",1656851542,-654881761,1
"1656851542-1374147519",1656851542,-1374147519,1
"1656851542-611751918",1656851542,-611751918,1
"-1812598750422624338",-1812598750,422624338,1
"-18125987501656851542",-1812598750,1656851542,1
